Variables,Estimate,Error,Tvalue,Prior_Mean,Prior_SD
seasonality_t,5.063078800594234,0.16630717835449513,30.44413867573374,0,10000000000
base_price_t,-0.6153378114580997,0.1568372446223171,-3.923416360316116,0,10000000000
acv_distribution_t,0.10869392443058323,0.0060416295705263,17.99082899104565,0,10000000000
price_discount_t,0.006238114067017363,0.005321536408907508,1.1722392910016801,0,10000000000
feature_display_t,0.014844239443146251,0.003709192707890599,4.002013540997201,0.09604842206856606,0.09604842206856606
video_t,-0.16924444666326274,0.02270900748825165,-7.45274520477481,0,10000000000
audio_t,0.9118659804539943,0.2320189934895043,3.9301350580819743,0,10000000000
digital_display_t,0.40264469134492986,0.046585332345360976,8.643164512810989,0.09604842206856606,0.09604842206856606
PR_t,0.09469219926153566,0.014869390200993211,6.3682637943828135,0,10000000000
GeoCodegeo1:Intercept,-9.67866692777712,0.6681429512294587,-14.485922376292795,0,10000000000
GeoCodegeo10:Intercept,-9.963763974862543,0.7259380492366253,-13.72536401052423,0,10000000000
GeoCodegeo2:Intercept,-5.378030512989123,0.8110959478198729,-6.6305725326881655,0,10000000000
GeoCodegeo3:Intercept,-7.757888631286117,0.7056672004575115,-10.993693098186192,0,10000000000
GeoCodegeo4:Intercept,-7.001918191223368,0.7447793738466336,-9.401332041541226,0,10000000000
GeoCodegeo5:Intercept,-9.905581923246249,0.6324295931545308,-15.662742589001322,0,10000000000
GeoCodegeo6:Intercept,-7.902317852853357,0.6434894727884884,-12.280415122580889,0,10000000000
GeoCodegeo7:Intercept,-7.889521238778023,0.6997131672835691,-11.275364831859278,0,10000000000
GeoCodegeo8:Intercept,-9.18801368791397,0.6346143914267642,-14.478104833483414,0,10000000000
GeoCodegeo9:Intercept,-9.794376020258648,0.8055907182454795,-12.158005049499723,0,10000000000
GeoCodegeo1:feature_t,0.12531048382095245,0.02912096822159714,4.303101561301034,0.041329730855848464,0.041329730855848464
GeoCodegeo10:feature_t,0,100,0,0.041329730855848464,0.041329730855848464
GeoCodegeo2:feature_t,-0.003625034614711495,0.005701009277201499,-0.6358583960226329,0.041329730855848464,0.041329730855848464
GeoCodegeo3:feature_t,0,100,0,0.041329730855848464,0.041329730855848464
GeoCodegeo4:feature_t,0.008107769502068336,0.005347515907925353,1.5161749196579508,0.041329730855848464,0.041329730855848464
GeoCodegeo5:feature_t,0.027096537886663927,0.006616656531453998,4.095200915727374,0.041329730855848464,0.041329730855848464
GeoCodegeo6:feature_t,0,100,0,0.041329730855848464,0.041329730855848464
GeoCodegeo7:feature_t,0.004804132213709146,0.007572270377929477,0.63443749020261,0.041329730855848464,0.041329730855848464
GeoCodegeo8:feature_t,0,100,0,0.041329730855848464,0.041329730855848464
GeoCodegeo9:feature_t,-4.0614928973982584e-4,0.0056791605083322625,-0.07151572651344121,0.041329730855848464,0.041329730855848464
GeoCodegeo1:display_t,0.2229545877569442,0.04002767426919219,5.570011044297521,0.09604842206856606,0.09604842206856606
GeoCodegeo10:display_t,0,100,0,0.09604842206856606,0.09604842206856606
GeoCodegeo2:display_t,-3.243102318658379e-4,0.012025890711667727,-0.026967668311768916,0.09604842206856606,0.09604842206856606
GeoCodegeo3:display_t,0,100,0,0.09604842206856606,0.09604842206856606
GeoCodegeo4:display_t,0.014155249294407098,0.013614601139234208,1.0397109066687868,0.09604842206856606,0.09604842206856606
GeoCodegeo5:display_t,0.007616709116067661,0.005581798236830791,1.3645618836255613,0.09604842206856606,0.09604842206856606
GeoCodegeo6:display_t,0,100,0,0.09604842206856606,0.09604842206856606
GeoCodegeo7:display_t,0.002780991656636133,0.006039570459101381,0.4604618284476331,0.09604842206856606,0.09604842206856606
GeoCodegeo8:display_t,0,100,0,0.09604842206856606,0.09604842206856606
GeoCodegeo9:display_t,0.007342485867831234,0.006596190467981781,1.1131403654081862,0.09604842206856606,0.09604842206856606
GeoCodegeo1:search_t,0.15389357073264714,0.03540958412358961,4.346099355347254,0.07266934500765157,0.036334672503825785
GeoCodegeo10:search_t,0.007784757643433892,0.029359560705739977,0.2651523883976889,0.07266934500765157,0.036334672503825785
GeoCodegeo2:search_t,-0.08193665846252257,0.03533924723096593,-2.3185739618903307,0.07266934500765157,0.036334672503825785
GeoCodegeo3:search_t,-0.07381615754557205,0.030668438062250516,-2.406909585540049,0.07266934500765157,0.036334672503825785
GeoCodegeo4:search_t,-0.029225958843750406,0.035615394239877224,-0.8205990546365255,0.07266934500765157,0.036334672503825785
GeoCodegeo5:search_t,0.0835774768141304,0.03572345424901916,2.3395687391127677,0.07266934500765157,0.036334672503825785
GeoCodegeo6:search_t,0.12285803978590051,0.034837758118209786,3.5265770939973975,0.07266934500765157,0.036334672503825785
GeoCodegeo7:search_t,0.03134253799915081,0.03337680702895317,0.9390514189078151,0.07266934500765157,0.036334672503825785
GeoCodegeo8:search_t,0.03245725433831989,0.03517273217953296,0.9227959367116436,0.07266934500765157,0.036334672503825785
GeoCodegeo9:search_t,0.07677177773997836,0.030769856209004954,2.495032060549919,0.07266934500765157,0.036334672503825785
GeoCodegeo1:OOH_t,0,100,0,0.15561673427123873,0.124493387416991
GeoCodegeo10:OOH_t,0.23713339291534793,0.03700294227942769,6.4085010085045475,0.15561673427123873,0.124493387416991
GeoCodegeo2:OOH_t,-0.02737434528233627,0.059427553784102964,-0.4606338901612165,0.15561673427123873,0.124493387416991
GeoCodegeo3:OOH_t,-0.09608783238952706,0.03200231159954413,-3.0025278671086943,0.15561673427123873,0.124493387416991
GeoCodegeo4:OOH_t,0,100,0,0.15561673427123873,0.124493387416991
GeoCodegeo5:OOH_t,0,100,0,0.15561673427123873,0.124493387416991
GeoCodegeo6:OOH_t,0,100,0,0.15561673427123873,0.124493387416991
GeoCodegeo7:OOH_t,0.03835232981030194,0.030577649452318372,1.2542602357354875,0.15561673427123873,0.124493387416991
GeoCodegeo8:OOH_t,0,100,0,0.15561673427123873,0.124493387416991
GeoCodegeo9:OOH_t,0.19136448008806634,0.0371554854388128,5.150369530313445,0.15561673427123873,0.124493387416991
GeoCodegeo1:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo10:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo2:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo3:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo4:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo5:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo6:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo7:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo8:samples_t,9.406778428366469e-7,9.935904743917347e-6,0.09467460357976154,9.406778428366469e-7,9.406778428366469e-7
GeoCodegeo9:samples_t,0,100,0,9.406778428366469e-7,9.406778428366469e-7
